term|label|code
frozen shoulder|Diagnosis|M75.0x
rotator cuff tear|Diagnosis|M75.1x
rotator cuff|Diagnosis|M75.1x
shoulder impingement|Diagnosis|M75.4x
neck pain|Diagnosis|M54.2x
cervicalgia|Diagnosis|M54.2x
tendinitis|Diagnosis|M75.2x
diabetic neuropathy|Diagnosis|E11.4x
arthrocentesis|Procedure|20610
joint tap|Procedure|20610
tpi|Procedure|20552
trigger point injection|Procedure|20552
joint injection|Procedure|20552
tendon sheath injection|Procedure|20550
nerve conduction study|Procedure|95900
bilateral|Modifier|50
