id,question,graph_output,decision,reason,disclaimer
1001,Is 95900 covered for E11.40?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Why (reason path):
  Diagnosis:E1140 --IS_IN→ DxSet:icd:diabetic_neuropathy
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs
  Coverage:cms-ncs --USES_DXSET→ DxSet:icd:diabetic_neuropathy

Matched sets:
  cms-ncs: ProcSet[cpt:ncs] & DxSet[icd:diabetic_neuropathy]

Citations:
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- icd10: E1140 — Type 2 diabetes mellitus with diabetic neuropathy, unspecified",COVERED,"Nerve conduction study (CPT 95900) is covered when performed for diabetic neuropathy (ICD-10 E11.40) under the policy ""CMS Coverage - Nerve Conduction Studies"". The diagnosis E11.40 maps to DxSet[icd:diabetic_neuropathy], and 95900 is in ProcSet[cpt:ncs], which together satisfy the configured coverage rule.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1002,Is nerve conduction study (95900) covered for R20.0 (numbness) under clinic policy?,"A: Coverage not found for this pairing in the local graph.

Why (reason path):
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs

Matched sets:

Citations:
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- icd10: R200 — Anesthesia of skin",NOT_COVERED,"Nerve conduction study (CPT 95900) is covered under the policy
""CMS Coverage — Nerve Conduction Studies"" for specific diagnoses configured in this system,
but R20.0 (numbness) is not among those covered diagnoses.
As a result, this procedure–diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1003,Is 20552 covered for M75.11?,"A: Coverage not found for this pairing in the local graph.

Per-diagnosis:
  M75.11: ✗ matches DxSet[icd:rotator_cuff] but not with this procedure
  M7511: ✗ matches DxSet[icd:rotator_cuff] but not with this procedure

Why (reason path):
  Diagnosis:M75.11 --IS_IN→ DxSet:icd:rotator_cuff
  Diagnosis:M7511 --IS_IN→ DxSet:icd:rotator_cuff
  Procedure:20552 --IS_IN→ ProcSet:cpt:trigger_point
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-tendon --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-trigger --USES_PROCSET→ ProcSet:cpt:trigger_point

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-tendon: CMS Coverage — Tendon Injection
- cms-trigger: CMS Coverage — Trigger Point Injection",NOT_COVERED,"Trigger point injection (CPT 20552) is only covered under the policy
""CMS Coverage — Nerve Conduction Studies"" for specific diagnoses configured in this system,
but R20.0 (numbness) is not among those covered diagnoses.
As a result, this procedure–diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1004,Is 20610 covered for M75.11?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M75.11: ✓ qualifies under cms-arthro via DxSet[icd:rotator_cuff]
  M7511: ✓ qualifies under cms-arthro via DxSet[icd:rotator_cuff]

Why (reason path):
  Diagnosis:M75.11 --IS_IN→ DxSet:icd:rotator_cuff
  Diagnosis:M7511 --IS_IN→ DxSet:icd:rotator_cuff
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:rotator_cuff
  Coverage:cms-tendon --USES_DXSET→ DxSet:icd:rotator_cuff

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:rotator_cuff]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-tendon: CMS Coverage — Tendon Injection ",COVERED,"Arthrocentesis (CPT 20610) is covered when performed for rotator cuff (M75.11) under the policy ""CMS Coverage — Arthrocentesis"". The diagnosis M75.11 maps to DxSet [icd:rotator_cuff], and 20610 is in ProcSet [cpt:arthro_block], which together satisfy the configured coverage rule.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1005,Is arthrocentesis (20610) covered for M75.01 and M75.41?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M7501: ✓ qualifies under cms-arthro via DxSet[icd:frozen_shoulder]
  M7541: ✗ no matching policy set

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:frozen_shoulder]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- icd10: M7501 — Adhesive capsulitis of right shoulder
- icd10: M7541 — Impingement syndrome of right shoulder ",HUMAN,"Arthrocentesis (CPT 20610) is covered when performed for adhesive capsulitis (M7501) under the policy ""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:frozen_shoulder]. 

Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M7541 (Impingement syndrome) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.

Because this order includes both a covered diagnosis (M7501) and a diagnosis that is not covered (M7541), this combination should be reviewed manually rather than auto-approved.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1006,Is joint injection (20552) covered for M75.41?,"A: Coverage not found for this pairing in the local graph.

Why (reason path):
  Procedure:20552 --IS_IN→ ProcSet:cpt:trigger_point
  Coverage:cms-trigger --USES_PROCSET→ ProcSet:cpt:trigger_point

Matched sets:

Citations:
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M7541 — Impingement syndrome of right shoulder",NOT_COVERED,"Trigger point injection (CPT 20552) is only covered under the policy
""CMS Coverage — Trigger Point Injection"" for specific diagnoses configured in this system,
but for M75.41 (impingement syndrome) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1007,Bilateral arthrocentesis (20610) for M75.01 — any modifier?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:frozen_shoulder]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- icd10: M7501 — Adhesive capsulitis of right shoulder ",COVERED,"Arthrocentesis (CPT 20610) is covered for diagnosis M75.01 (frozen shoulder) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:frozen_shoulder].
Because this is a bilateral procedure, clinic policy and the CMS note require appending modifier 50
and clearly documenting laterality for both shoulders.""","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1008,Is arthrocentesis (20610) covered for M54.2?,"A: Coverage not found for this pairing in the local graph.

Why (reason path):
  Diagnosis:M542 --IS_IN→ DxSet:icd:cervicalgia
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-trigger --USES_DXSET→ DxSet:icd:cervicalgia

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-trigger: CMS Coverage — Trigger Point Injection
- icd10: M542 — Cervicalgia ",NOT_COVERED,"Arthrocentesis (CPT 20610) is only covered under the policy ""CMS Coverage — Arthrocentesis"" for specific diagnoses configured in this system, but M54.2 (Cervicalgia) is not among those covered diagnoses. As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1009,Is 95900 covered for M75.01?,"A: Coverage not found for this pairing in the local graph.

Why (reason path):
  Diagnosis:M7501 --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:95900 --IS_IN→ ProcSet:cpt:ncs
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder
  Coverage:cms-ncs --USES_PROCSET→ ProcSet:cpt:ncs

Matched sets:

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- cms-ncs: CMS Coverage — Nerve Conduction Studies
- icd10: M7501 — Adhesive capsulitis of right shoulder ",NOT_COVERED,"Nerve conduction study (CPT 95900) is only covered under the policy ""CMS Coverage — Nerve Conduction Studies"" for specific diagnoses configured in this system, but it is not covered for M75.01 (adhesive capsulitis of right shoulder). As a result, this procedure-diagnosis pairing is not covered under the current configuration.","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
1010,Is arthrocentesis covered for frozen shoulder?,"A: Yes — covered when medically necessary for the indicated diagnosis.

Per-diagnosis:
  M750*: ✓ qualifies under cms-arthro via DxSet[icd:frozen_shoulder]
  M7500: ✗ no matching policy set
  M7501: ✗ no matching policy set
  M7502: ✗ no matching policy set

Why (reason path):
  Diagnosis:M750* --IS_IN→ DxSet:icd:frozen_shoulder
  Procedure:20610 --IS_IN→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_PROCSET→ ProcSet:cpt:arthro_block
  Coverage:cms-arthro --USES_DXSET→ DxSet:icd:frozen_shoulder
  Diagnosis:M7500 --IS_A→ Diagnosis:M750*
  Diagnosis:M7501 --IS_A→ Diagnosis:M750*
  Diagnosis:M7502 --IS_A→ Diagnosis:M750*

Matched sets:
  cms-arthro: ProcSet[cpt:arthro_block] & DxSet[icd:frozen_shoulder]

Citations:
- cms-arthro: CMS Coverage — Arthrocentesis
- icd10: M7500 — Adhesive capsulitis of unspecified shoulder
- icd10: M7501 — Adhesive capsulitis of right shoulder
- icd10: M7502 — Adhesive capsulitis of left shoulder ",COVERED,"Arthrocentesis (CPT 20610) is covered for diagnosis M75.01 (frozen shoulder) under the policy
""CMS Coverage — Arthrocentesis"", which links ProcSet[cpt:arthro_block] with DxSet[icd:frozen_shoulder].","This response is informational only and does not constitute a final coverage determination. Please refer to the official plan documents and payer policies, and confirm with the payer for binding decisions."
