label,category,use_priority,capability_count,evidence_count,supporting_capabilities,supporting_evidence_ids
Governed GenAI Systems,genai,primary,1,1,Governed GenAI and Tool-Calling Systems,exp_01_01_01_01
AI/ML Platform Architecture,architecture,primary,1,2,Enterprise AI and Operational Intelligence Platforms,"exp_01_01_01_01, exp_01_01_02_01"
Cloud-Native AI Pipelines,architecture,primary,1,2,Cloud-Native AI Infrastructure and Data Platforms,"exp_01_01_02_01, exp_01_08_01_04"
MLOps & Observability,operations,primary,1,3,"MLOps, LLMOps, and observability as operational foundations","exp_01_08_01_03, exp_01_04_01_04, exp_01_08_01_04"
Reusable Frameworks,operations,primary,1,3,Reusable Frameworks and Developer Enablement,"exp_01_04_01_04, exp_01_01_01_03, exp_01_07_01_01"
AI Governance & Compliance,governance,primary,1,2,"Governance, compliance, and responsible AI","exp_01_01_01_01, exp_01_02_01_02"
Mentorship & Team Enablement,leadership,primary,1,3,"Mentorship, cross-functional leadership, and technical influence","exp_01_02_01_04, exp_01_09_01_01, exp_01_02_01_01"
Business-Driven AI Solutions,business,primary,1,3,Business Translation and Decision Support,"exp_01_08_01_03, exp_01_07_01_01, exp_01_04_01_02"
Cross-Functional Leadership,leadership,primary,1,2,"Mentorship, cross-functional leadership, and technical influence","exp_01_09_01_01, exp_01_08_01_05"
Continuous Innovation,genai,secondary,1,2,"Continuous innovation, research application, and developer enablement","exp_01_04_01_04, exp_01_02_01_02"
Performance & Reliability Optimization,operations,secondary,1,2,"Optimizing system performance, cost, and reliability","exp_01_09_01_02, exp_01_04_01_02"
Business Value Delivery,business,secondary,1,2,"Business value delivery (growth, efficiency, customer impact)","exp_01_05_01_01, exp_01_09_01_02"
Strategic Roadmaps & Metrics,business,secondary,1,2,"Technical Roadmaps, Strategy, and Innovation","exp_01_08_01_03, exp_01_08_01_05"
Data Profiling & Integration,data,secondary,1,1,Reusable Frameworks and Developer Enablement,exp_01_01_01_03
